strategy,init,iterations,query,sample_size,accuracy,f1_score
entropy,100,20,10,230,0.797,0.802423
entropy,100,20,10,240,0.801,0.805838
entropy,100,20,10,250,0.811,0.815712
entropy,100,20,10,260,0.76625,0.780143
entropy,100,20,10,270,0.77975,0.789826
entropy,100,20,10,280,0.79375,0.803514
entropy,100,20,10,290,0.772,0.785574
diversity,100,20,10,100,0.646,0.628377
diversity,100,20,10,110,0.55525,0.541597
diversity,100,20,10,120,0.63325,0.600286
diversity,100,20,10,130,0.6565,0.633672
diversity,100,20,10,140,0.64225,0.619634
diversity,100,20,10,150,0.66375,0.644537
diversity,100,20,10,160,0.7035,0.686232
diversity,100,20,10,170,0.7335,0.730737
diversity,100,20,10,180,0.76,0.763648
diversity,100,20,10,190,0.77125,0.767958
diversity,100,20,10,200,0.7485,0.755441
diversity,100,20,10,210,0.74975,0.758377
diversity,100,20,10,220,0.73725,0.746207
diversity,100,20,10,230,0.7485,0.7597
diversity,100,20,10,240,0.73875,0.753063
diversity,100,20,10,250,0.75,0.757929
diversity,100,20,10,260,0.75325,0.759242
diversity,100,20,10,270,0.74225,0.752984
diversity,100,20,10,280,0.76775,0.7753
diversity,100,20,10,290,0.759,0.766387
entropy_diversity,100,20,10,100,0.6755,0.660024
entropy_diversity,100,20,10,110,0.6075,0.594457
entropy_diversity,100,20,10,120,0.5855,0.56692
entropy_diversity,100,20,10,130,0.73075,0.710862
entropy_diversity,100,20,10,140,0.6915,0.669039
entropy_diversity,100,20,10,150,0.786,0.774984
entropy_diversity,100,20,10,160,0.78775,0.775456
entropy_diversity,100,20,10,170,0.798,0.785437
entropy_diversity,100,20,10,180,0.7875,0.777177
entropy_diversity,100,20,10,190,0.775,0.75945
entropy_diversity,100,20,10,200,0.7735,0.754335
entropy_diversity,100,20,10,210,0.80575,0.801306
entropy_diversity,100,20,10,220,0.79475,0.796689
entropy_diversity,100,20,10,230,0.80775,0.802856
entropy_diversity,100,20,10,240,0.81875,0.820482
entropy_diversity,100,20,10,250,0.79675,0.801163
entropy_diversity,100,20,10,260,0.74425,0.749498
entropy_diversity,100,20,10,270,0.784,0.793305
entropy_diversity,100,20,10,280,0.80775,0.813383
entropy_diversity,100,20,10,290,0.80975,0.816894
